MatchString,Product
A2200,HP PageWide A2200
Advantage,HP PageWide Advantage 2200 Series
C500,HP PageWide C500 Press
T200 HD,HP PageWide Web Press T200 HD series
HD T200,HP PageWide Web Press T200 HD series
T200HD,HP PageWide Web Press T200 HD series
HDT200,HP PageWide Web Press T200 HD series
T200 Color,HP PageWide Web Press T200 Color series
Color T200,HP PageWide Web Press T200 Color series
T200Color,HP PageWide Web Press T200 Color series
ColorT200,HP PageWide Web Press T200 Color series
T400 Color,HP PageWide Web Press T400 Color series
Color T400,HP PageWide Web Press T400 Color series
T400Color,HP PageWide Web Press T400 Color series
ColorT400,HP PageWide Web Press T400 Color series
T230 Color,"HP PageWide Web Press T230 Color series"
Color T230,"HP PageWide Web Press T230 Color series"
T230Color,"HP PageWide Web Press T230 Color series"
ColorT230,"HP PageWide Web Press T230 Color series"
Color,"HP PageWide Web Press T200 Color series, HP PageWide Web Press T400 Color series, HP PageWide Web Press T230 Color series"
T230,"HP PageWide Web Press T230, HP PageWide Web Press T230 Color series"
T300HD,HP PageWide Web Press T300 HD series
HDT300,HP PageWide Web Press T300 HD series
T300 HD,HP PageWide Web Press T300 HD series
HD T300,HP PageWide Web Press T300 HD series
T300Mono,HP PageWide Web Press T300 Mono series
MonoT300,HP PageWide Web Press T300 Mono series
T300 Mono,HP PageWide Web Press T300 Mono series
Mono T300,HP PageWide Web Press T300 Mono series
T400 Mono,HP PageWide Web Press T400 Mono series
Mono T400,HP PageWide Web Press T400 Mono series
T400Mono,HP PageWide Web Press T400 Mono series
MonoT400,HP PageWide Web Press T400 Mono series
T400 HD,HP PageWide Web Press T400 HD series
HD T400,HP PageWide Web Press T400 HD series
T400HD,HP PageWide Web Press T400 HD series
HDT400,HP PageWide Web Press T400 HD series
Mono,"HP PageWide Web Press T300 Mono series, HP PageWide Web Press T400 Mono series, HP PageWide Web Press T260 Mono"
T300,"HP PageWide Web Press T300 series, HP PageWide Web Press T300, HP PageWide Web Press T300 HD series, HP PageWide Web Press T300 Mono series"
T400,"HP PageWide Web Press T400, HP PageWide Web Press T400 Color series, HP PageWide Web Press T400 HD series"
T200,"HP PageWide Web Press T200, HP PageWide Web Press T200 Color series, HP PageWide Web Press T200 HD series"
T1100,HP PageWide T1100 Press series
T1100S,HP PageWide Web Press T1100S
T1170,HP PageWide Web Press T1170
T1190,HP PageWide Web Press T1190
T235,HP PageWide Web Press T235
T240,HP PageWide Web Press T240 HD
T240M,HP PageWide Web Press T240M HD
T250,HP PageWide Web Press T250 HD
T260,HP PageWide Web Press T260 Mono
T260M,HP PageWide Web Press T260M
T260ML,HP PageWide Web Press T260ML
T300M,HP PageWide Web Press T300M
T400S,HP PageWide T400S Press
T400M,HP PageWide Web Press T400M
T350,HP PageWide Web Press T350
T350M,HP PageWide Web Press T350M
T360,HP PageWide Web Press T360
T370,HP PageWide Web Press T370 HD
T380,HP PageWide Web Press T380 HD
T390,HP PageWide Web Press T390 HD
T390M,HP PageWide Web Press T390M HD
T410,HP PageWide Web Press T410
T410M,HP PageWide Web Press T410M
T470,HP PageWide Web Press T470 HD
T470S,HP PageWide Web Press T470S
T480,HP PageWide Web Press T480 HD
T485,HP PageWide Web Press T485
T490,HP PageWide Web Press T490 HD
T490M,HP PageWide Web Press T490M HD
T700i,HP PageWide T700i Press
T11XX,"T11XX, HP PageWide T1100 Press series, HP T1195i 6 Color Print System"
T2XX,"T2XX, HP PageWide T240HD, HP PageWide Web Press T200 Color series, HP PageWide Web Press T200 HD series, HP PageWide Web Press T230 Color series, HP PageWide Web Press T260 Mono, HP T250 Printing Rfrbd Solution"
A22XX,"A22XX, HP PageWide Advantage 2200 Series, HP PWP Adv 2200, HP PWP A2200"
T3XX,"T3XX,HP PageWide Web Press T300 HD series, HP PageWide Web Press T300 Mono series, HP PageWide Web Press T300 series, HP PageWide Web Press T350, HP PageWide Web Press T350M, HP PageWide Web Press T360"
T4XX,"T4XX, HP PageWide Web Press T400 Color series, HP PWP T4XXS, HP PageWide T400S Press, HP PageWide Web Press T400 HD series, HP PageWide Web Press T400 Mono series, HP PageWide Web Press T410,HP PageWide Web Press T4250 HD, HP PageWide Web Press T4250 HD series, HP PageWide T490HD, HP T4250HDR Color 3Z Print System, HP PageWide T485 HD, HP PageWide T490 HD Color"